Attrition_Flag,Customer_Age,Dependent_count,Education_Level,Marital_Status,Income_Category,Card_Category,Months_on_book,Total_Relationship_Count,Months_Inactive_12_mon,Contacts_Count_12_mon,Credit_Limit,Total_Revolving_Bal,Avg_Open_To_Buy
Existing Customer,39,3,High School,Single,R60K - R80K,Blue,26,6,1,4,24534,1475,23059
Existing Customer,50,2,High School,Unknown,R120K +,Blue,40,1,2,3,24670,1623,23047
Attrited Customer,42,3,High School,Married,R80K - R120K,Blue,36,1,3,2,22993,0,22993
Existing Customer,56,1,Unknown,Married,Unknown,Blue,36,6,3,2,24073,1084,22989
Existing Customer,37,2,Graduate,Divorced,R80K - R120K,Blue,25,3,2,2,25187,2209,22978
Existing Customer,49,1,Doctorate,Married,R60K - R80K,Blue,36,4,6,3,24159,1196,22963
Existing Customer,57,3,Unknown,Divorced,R60K - R80K,Blue,48,5,2,3,24589,1640,22949
Existing Customer,44,2,Graduate,Married,Unknown,Blue,37,6,3,2,24221,1274,22947
Existing Customer,42,5,Doctorate,Married,Unknown,Blue,23,4,2,2,24602,1660,22942
Attrited Customer,48,4,Unknown,Married,R80K - R120K,Blue,36,2,3,2,22917,0,22917
Existing Customer,44,3,Graduate,Married,Unknown,Blue,31,5,2,0,24936,2053,22883
Existing Customer,53,2,Uneducated,Single,R80K - R120K,Blue,47,6,1,1,22855,0,22855
Existing Customer,44,4,Doctorate,Married,R80K - R120K,Blue,27,1,2,1,24134,1290,22844
Existing Customer,57,1,Uneducated,Married,R120K +,Blue,36,6,2,3,24545,1735,22810
Existing Customer,34,3,College,Married,R80K - R120K,Blue,28,3,1,3,24765,1999,22766
Attrited Customer,51,1,High School,Married,R80K - R120K,Blue,36,4,3,4,22754,0,22754
Existing Customer,33,2,Unknown,Single,R120K +,Blue,15,4,2,2,25033,2300,22733
Existing Customer,50,2,Unknown,Single,R80K - R120K,Blue,38,2,3,1,24533,1813,22720
Existing Customer,42,2,Uneducated,Married,Unknown,Blue,31,4,2,0,22718,0,22718
Attrited Customer,58,1,Graduate,Single,R80K - R120K,Blue,36,6,3,4,22718,0,22718
Existing Customer,35,3,Graduate,Single,R80K - R120K,Blue,24,4,1,2,23561,864,22697
Existing Customer,51,1,Uneducated,Married,R80K - R120K,Blue,42,6,2,2,25197,2517,22680
Existing Customer,52,3,High School,Married,Unknown,Blue,42,3,2,1,23858,1179,22679
Existing Customer,53,2,Uneducated,Divorced,R120K +,Blue,42,4,2,2,22664,0,22664
Existing Customer,63,1,Uneducated,Married,R80K - R120K,Blue,36,5,2,3,24571,1955,22616
Existing Customer,52,2,High School,Married,R60K - R80K,Blue,45,5,1,4,24287,1676,22611
Attrited Customer,47,3,College,Single,R60K - R80K,Blue,39,5,3,2,22599,0,22599
Existing Customer,43,4,Graduate,Divorced,R80K - R120K,Blue,32,2,1,2,24244,1649,22595
Existing Customer,50,2,Unknown,Married,R60K - R80K,Blue,43,2,2,1,23223,628,22595
Existing Customer,48,2,Graduate,Divorced,R80K - R120K,Blue,29,6,2,3,24446,1854,22592
Existing Customer,42,3,Graduate,Married,R40K - R60K,Gold,36,3,2,5,23981,1399,22582
Existing Customer,49,3,Graduate,Single,R40K - R60K,Gold,36,2,2,2,23981,1408,22573
Existing Customer,47,3,High School,Single,R80K - R120K,Blue,42,4,1,0,24480,1923,22557
Attrited Customer,48,1,Uneducated,Single,R40K - R60K,Gold,28,3,2,1,23981,1454,22527
Existing Customer,48,4,High School,Single,Unknown,Blue,36,2,3,1,23939,1419,22520
Existing Customer,51,2,Graduate,Married,R120K +,Blue,42,3,3,0,24221,1707,22514
Existing Customer,50,2,Uneducated,Married,Unknown,Blue,34,5,3,2,23381,905,22476
Existing Customer,37,3,Uneducated,Single,R80K - R120K,Blue,26,4,2,2,23622,1153,22469
Existing Customer,56,2,Graduate,Married,R80K - R120K,Blue,36,4,2,3,23510,1049,22461
Existing Customer,38,1,High School,Single,Unknown,Blue,27,2,2,2,24965,2517,22448
Existing Customer,39,2,Uneducated,Single,R60K - R80K,Blue,29,2,2,3,23402,958,22444
Existing Customer,50,3,College,Married,Unknown,Blue,44,2,1,3,24735,2296,22439
Existing Customer,63,0,Unknown,Unknown,R60K - R80K,Blue,46,6,2,2,23925,1494,22431
Existing Customer,60,1,Graduate,Single,Unknown,Blue,51,3,3,4,23566,1147,22419
Existing Customer,30,0,Unknown,Single,R60K - R80K,Blue,20,1,3,3,23760,1349,22411
Existing Customer,57,2,Unknown,Married,R120K +,Blue,36,3,2,2,23700,1314,22386
Attrited Customer,32,0,High School,Married,R120K +,Blue,27,3,3,4,22382,0,22382
Existing Customer,44,1,College,Single,R60K - R80K,Blue,35,3,3,3,24312,1932,22380
Attrited Customer,41,3,Doctorate,Single,R80K - R120K,Blue,29,2,2,3,24001,1629,22372
Existing Customer,60,1,Graduate,Married,R80K - R120K,Blue,50,6,2,2,23412,1078,22334
Existing Customer,33,3,Graduate,Divorced,R60K - R80K,Blue,36,6,3,3,24149,1848,22301
Existing Customer,45,4,Unknown,Unknown,R40K - R60K,Gold,39,5,1,2,23981,1684,22297
Existing Customer,63,1,High School,Single,R60K - R80K,Blue,54,2,3,3,23355,1061,22294
Existing Customer,51,2,Post-Graduate,Single,R120K +,Blue,45,4,2,2,22294,0,22294
Existing Customer,39,2,Unknown,Single,R40K - R60K,Gold,36,5,3,3,23981,1696,22285
Existing Customer,53,3,Graduate,Single,R80K - R120K,Blue,45,2,1,2,24262,1984,22278
Existing Customer,45,4,High School,Unknown,R80K - R120K,Blue,34,4,3,3,23539,1261,22278
Existing Customer,50,3,Graduate,Single,R60K - R80K,Blue,44,4,2,3,23090,839,22251
Attrited Customer,45,4,Graduate,Married,R80K - R120K,Blue,35,2,3,3,23542,1307,22235
Existing Customer,28,0,Graduate,Married,Unknown,Blue,15,2,2,2,23103,897,22206
Existing Customer,40,4,Unknown,Divorced,R40K - R60K,Gold,28,4,2,2,23981,1788,22193
Existing Customer,36,2,College,Single,R60K - R80K,Blue,24,5,2,5,23032,840,22192
Attrited Customer,55,1,Uneducated,Single,R120K +,Blue,41,3,4,4,24542,2354,22188
Existing Customer,60,0,Uneducated,Single,R80K - R120K,Blue,36,6,3,2,24528,2396,22132
Existing Customer,39,1,College,Single,Unknown,Blue,36,6,1,1,22125,0,22125
Existing Customer,44,4,College,Single,R80K - R120K,Blue,34,4,4,3,22074,0,22074
Existing Customer,47,3,Unknown,Single,R80K - R120K,Blue,37,3,1,5,24580,2517,22063
Existing Customer,34,2,High School,Single,Unknown,Blue,36,3,4,2,22886,836,22050
Existing Customer,44,2,Graduate,Unknown,R80K - R120K,Blue,33,3,2,3,23665,1624,22041
Existing Customer,58,2,College,Married,R120K +,Blue,53,2,3,0,24407,2395,22012
Existing Customer,45,2,Uneducated,Unknown,R80K - R120K,Blue,41,6,2,2,23271,1262,22009
Existing Customer,59,1,Doctorate,Single,R80K - R120K,Blue,49,4,2,2,22715,707,22008
Existing Customer,40,3,Uneducated,Divorced,R60K - R80K,Blue,30,2,3,2,24499,2517,21982
Existing Customer,45,3,Graduate,Single,R80K - R120K,Blue,32,5,2,2,24487,2517,21970
Attrited Customer,43,2,Graduate,Married,Unknown,Blue,25,4,2,4,21961,0,21961
Existing Customer,46,3,Uneducated,Married,R80K - R120K,Blue,36,3,2,2,23512,1562,21950
Existing Customer,40,4,Unknown,Unknown,R80K - R120K,Blue,27,4,3,2,22863,927,21936
Existing Customer,35,1,College,Single,R60K - R80K,Blue,26,3,2,3,23447,1515,21932
Existing Customer,52,0,Uneducated,Married,R60K - R80K,Blue,36,3,3,2,22720,793,21927
Existing Customer,35,3,Unknown,Single,R40K - R60K,Gold,19,1,1,3,22725,808,21917
Existing Customer,56,2,High School,Unknown,R120K +,Blue,52,6,2,2,23362,1453,21909
Existing Customer,38,1,High School,Single,R60K - R80K,Blue,28,2,2,2,21906,0,21906
Existing Customer,45,4,High School,Unknown,Unknown,Blue,36,6,3,3,23000,1097,21903
Existing Customer,50,4,High School,Married,R80K - R120K,Blue,41,6,3,3,23209,1308,21901
Existing Customer,65,1,Graduate,Single,Unknown,Blue,56,4,3,3,23566,1670,21896
Existing Customer,29,2,Uneducated,Single,Unknown,Blue,18,4,1,2,23125,1236,21889
Existing Customer,57,1,Unknown,Married,R120K +,Blue,36,6,2,4,23848,1967,21881
Existing Customer,52,2,College,Divorced,R40K - R60K,Gold,43,2,2,3,23981,2114,21867
Existing Customer,44,4,Post-Graduate,Single,R120K +,Blue,32,2,4,2,23957,2102,21855
Existing Customer,44,4,Unknown,Unknown,R40K - R60K,Gold,31,2,2,3,23981,2135,21846
Existing Customer,59,2,Unknown,Single,Unknown,Blue,46,2,3,2,23731,1890,21841
Existing Customer,45,2,Unknown,Single,R60K - R80K,Blue,30,3,1,3,21815,0,21815
Existing Customer,50,2,Uneducated,Married,R120K +,Blue,36,4,3,4,23911,2100,21811
Existing Customer,41,3,College,Single,R60K - R80K,Blue,36,3,3,1,23260,1476,21784
Existing Customer,49,2,High School,Single,R80K - R120K,Blue,37,6,1,4,24299,2517,21782
Existing Customer,43,3,Graduate,Married,R120K +,Blue,36,3,2,2,22906,1132,21774
Existing Customer,48,1,Graduate,Single,Unknown,Blue,38,3,2,2,23007,1239,21768
Existing Customer,41,4,Uneducated,Single,R80K - R120K,Blue,32,4,6,3,21756,0,21756
Existing Customer,48,2,Uneducated,Divorced,R40K - R60K,Silver,39,2,2,2,21754,0,21754
Existing Customer,53,2,Unknown,Single,R60K - R80K,Blue,45,5,1,2,22558,818,21740
Existing Customer,61,0,Uneducated,Single,R80K - R120K,Blue,48,6,2,2,21740,0,21740
Attrited Customer,56,3,Uneducated,Married,R80K - R120K,Blue,46,1,3,3,23240,1534,21706
Existing Customer,35,1,High School,Married,R80K - R120K,Blue,25,6,1,2,23991,2307,21684
Existing Customer,60,1,High School,Single,R40K - R60K,Silver,49,5,2,2,21681,0,21681
Existing Customer,61,0,Uneducated,Married,R120K +,Blue,36,4,3,4,24172,2517,21655
Existing Customer,45,3,Graduate,Married,R80K - R120K,Blue,36,6,3,2,21630,0,21630
Existing Customer,40,3,High School,Single,R80K - R120K,Blue,28,5,1,0,21617,0,21617
Existing Customer,38,1,High School,Single,R120K +,Blue,27,6,2,2,22487,889,21598
Existing Customer,46,3,High School,Single,R60K - R80K,Blue,39,4,1,4,23642,2049,21593
Existing Customer,49,3,Unknown,Married,R60K - R80K,Blue,36,6,1,3,22651,1085,21566
Existing Customer,44,3,High School,Divorced,R60K - R80K,Blue,36,4,3,1,22919,1368,21551
Existing Customer,32,0,College,Single,R60K - R80K,Blue,16,2,3,2,21551,0,21551
Existing Customer,40,4,Unknown,Married,R60K - R80K,Blue,36,3,2,3,22956,1407,21549
Existing Customer,51,2,College,Married,R80K - R120K,Blue,45,3,3,1,21543,0,21543
Existing Customer,57,2,Uneducated,Single,R60K - R80K,Blue,36,1,1,3,23058,1534,21524
Existing Customer,52,5,Unknown,Single,R60K - R80K,Blue,36,2,3,2,23712,2195,21517
Existing Customer,29,1,Unknown,Single,R60K - R80K,Blue,19,3,1,2,23507,1990,21517
Existing Customer,46,1,High School,Single,R60K - R80K,Blue,38,5,2,4,23996,2517,21479
Existing Customer,34,3,High School,Married,R120K +,Blue,25,3,2,4,23959,2517,21442
Attrited Customer,53,1,Uneducated,Unknown,R120K +,Blue,45,4,4,2,23958,2517,21441
Existing Customer,63,1,Graduate,Single,R80K - R120K,Blue,55,6,1,2,21430,0,21430
Existing Customer,48,4,High School,Married,Unknown,Blue,36,4,1,2,21416,0,21416
Existing Customer,38,1,Graduate,Single,R60K - R80K,Blue,34,5,3,4,23391,1977,21414
Existing Customer,44,2,High School,Single,R80K - R120K,Blue,36,5,3,0,22143,730,21413
Existing Customer,40,4,Doctorate,Divorced,R60K - R80K,Blue,34,4,2,3,23138,1727,21411
Existing Customer,53,1,Graduate,Married,R80K - R120K,Blue,38,6,3,2,22140,733,21407
Existing Customer,45,2,College,Single,R60K - R80K,Blue,33,6,3,0,23218,1814,21404
Attrited Customer,61,0,College,Single,R80K - R120K,Blue,50,2,4,3,21398,0,21398
Existing Customer,32,3,College,Single,R80K - R120K,Blue,21,4,3,5,21390,0,21390
Existing Customer,42,5,Uneducated,Married,R80K - R120K,Blue,37,6,2,2,22913,1528,21385
Existing Customer,48,4,Graduate,Single,R80K - R120K,Blue,36,6,4,1,22067,685,21382
Existing Customer,41,4,High School,Unknown,R80K - R120K,Blue,36,4,3,2,23124,1746,21378
Existing Customer,48,3,Graduate,Single,R80K - R120K,Blue,35,3,3,3,21374,0,21374
Existing Customer,52,4,Graduate,Married,R80K - R120K,Blue,45,2,2,3,23070,1701,21369
Existing Customer,43,4,Unknown,Single,R60K - R80K,Blue,36,4,1,0,22322,953,21369
Attrited Customer,47,3,High School,Married,R80K - R120K,Blue,34,3,3,3,21359,0,21359
Existing Customer,51,3,Uneducated,Unknown,R80K - R120K,Blue,45,5,2,2,21328,0,21328
Existing Customer,45,3,High School,Unknown,R60K - R80K,Blue,27,6,2,3,21317,0,21317
Existing Customer,50,4,Doctorate,Married,Unknown,Blue,38,6,4,2,23692,2402,21290
Existing Customer,58,2,High School,Single,R80K - R120K,Blue,54,6,3,2,22981,1696,21285
Existing Customer,53,3,High School,Married,R80K - R120K,Blue,44,4,2,3,23462,2202,21260
Existing Customer,51,1,Unknown,Married,R60K - R80K,Blue,36,3,2,4,22224,979,21245
Existing Customer,53,3,Unknown,Single,R60K - R80K,Blue,42,6,1,2,22938,1700,21238
Existing Customer,45,4,College,Single,R40K - R60K,Gold,30,1,2,1,23051,1836,21215
Attrited Customer,52,2,High School,Married,R60K - R80K,Blue,40,3,4,2,23128,1958,21170
Existing Customer,38,1,High School,Married,R80K - R120K,Blue,23,4,3,2,22149,987,21162
Existing Customer,40,3,Graduate,Single,R80K - R120K,Blue,34,3,3,4,22380,1220,21160
Existing Customer,48,5,Uneducated,Single,R60K - R80K,Blue,38,6,2,3,22639,1481,21158
Existing Customer,44,3,High School,Married,R60K - R80K,Blue,34,4,2,5,21158,0,21158
Existing Customer,43,3,Graduate,Married,R80K - R120K,Blue,38,3,5,1,23459,2305,21154
Existing Customer,40,3,Graduate,Married,R60K - R80K,Blue,23,1,3,1,22729,1581,21148
Existing Customer,47,3,Graduate,Unknown,R60K - R80K,Blue,36,4,3,2,21142,0,21142
Existing Customer,35,1,Graduate,Unknown,R80K - R120K,Blue,24,4,2,3,21114,0,21114
Attrited Customer,50,3,Uneducated,Married,R60K - R80K,Blue,45,2,2,5,21096,0,21096
Existing Customer,49,3,College,Single,Unknown,Blue,43,4,4,0,23032,1960,21072
Attrited Customer,31,1,Uneducated,Single,Unknown,Blue,36,2,3,3,21067,0,21067
Existing Customer,54,0,Graduate,Single,R80K - R120K,Blue,42,3,1,1,22437,1389,21048
Existing Customer,31,0,Graduate,Divorced,R80K - R120K,Blue,19,1,1,2,21615,570,21045
Existing Customer,39,1,Post-Graduate,Single,R80K - R120K,Blue,29,6,2,2,23034,1992,21042
Existing Customer,28,0,Unknown,Single,Unknown,Blue,13,5,3,2,21691,661,21030
Attrited Customer,52,3,Uneducated,Single,R120K +,Blue,48,5,3,4,20974,0,20974
Existing Customer,50,3,Uneducated,Single,R120K +,Blue,38,6,3,3,22304,1333,20971
Existing Customer,33,2,Graduate,Married,R80K - R120K,Blue,28,4,2,2,22399,1431,20968
Existing Customer,50,1,Unknown,Married,R120K +,Blue,36,6,3,2,20968,0,20968
Existing Customer,50,1,Graduate,Married,R120K +,Blue,43,4,5,3,20958,0,20958
Existing Customer,43,4,Uneducated,Married,R60K - R80K,Blue,31,1,1,2,23457,2517,20940
Existing Customer,51,1,Graduate,Single,R40K - R60K,Gold,44,3,3,3,22722,1790,20932
Existing Customer,50,2,High School,Married,R60K - R80K,Blue,43,6,3,4,21869,950,20919
Existing Customer,48,3,Uneducated,Single,R120K +,Blue,38,4,2,5,20912,0,20912
Existing Customer,39,0,Unknown,Single,R40K - R60K,Silver,26,1,1,1,22054,1146,20908
Existing Customer,47,3,High School,Married,R80K - R120K,Blue,32,3,2,2,23424,2517,20907
Existing Customer,51,2,Uneducated,Single,R60K - R80K,Blue,40,4,2,2,21800,893,20907
Existing Customer,46,4,Graduate,Single,R60K - R80K,Blue,27,3,3,2,21839,960,20879
Existing Customer,44,3,High School,Married,R80K - R120K,Blue,36,3,3,2,22243,1377,20866
Attrited Customer,55,3,Doctorate,Single,R80K - R120K,Blue,35,4,1,3,20865,0,20865
Existing Customer,41,4,High School,Unknown,R80K - R120K,Blue,36,4,3,0,23018,2168,20850
Existing Customer,52,3,Uneducated,Married,R80K - R120K,Blue,40,4,1,3,21877,1073,20804
Existing Customer,43,2,College,Married,R60K - R80K,Blue,28,4,2,3,22157,1355,20802
Existing Customer,33,2,Graduate,Divorced,R60K - R80K,Blue,21,5,3,3,20791,0,20791
Existing Customer,47,1,High School,Married,R60K - R80K,Blue,36,4,4,3,20789,0,20789
Existing Customer,52,2,Graduate,Married,R80K - R120K,Blue,42,5,3,2,21782,1006,20776
Existing Customer,41,2,Post-Graduate,Married,Unknown,Blue,31,6,1,3,20758,0,20758
Existing Customer,50,3,Graduate,Single,R60K - R80K,Blue,45,4,2,3,21872,1118,20754
Existing Customer,40,3,Uneducated,Single,R40K - R60K,Silver,33,4,1,3,21308,564,20744
Existing Customer,57,2,Unknown,Single,R80K - R120K,Blue,38,6,1,3,23008,2280,20728
Existing Customer,45,1,Uneducated,Single,R60K - R80K,Blue,35,5,3,2,21696,1036,20660
Existing Customer,53,2,College,Married,R80K - R120K,Blue,45,4,4,4,21953,1311,20642
Existing Customer,36,1,Post-Graduate,Married,R80K - R120K,Blue,26,3,4,2,21927,1291,20636
Existing Customer,50,2,Unknown,Divorced,R80K - R120K,Blue,36,4,3,1,20614,0,20614
Existing Customer,39,2,Graduate,Single,R60K - R80K,Blue,24,2,3,2,21679,1073,20606
Existing Customer,43,5,Graduate,Married,R60K - R80K,Blue,35,4,3,0,21585,986,20599
Existing Customer,52,2,Uneducated,Single,R80K - R120K,Blue,36,3,1,4,22103,1515,20588
Existing Customer,51,2,High School,Married,R60K - R80K,Blue,38,5,3,2,22332,1748,20584
Existing Customer,44,2,Unknown,Unknown,R60K - R80K,Blue,39,5,3,3,22075,1506,20569
Existing Customer,51,0,High School,Unknown,R80K - R120K,Blue,44,2,2,3,22741,2176,20565
Attrited Customer,41,3,Unknown,Married,R80K - R120K,Blue,22,3,3,4,20543,0,20543
Attrited Customer,44,2,Post-Graduate,Married,R60K - R80K,Blue,34,6,3,4,23026,2517,20509
Existing Customer,40,3,College,Single,R40K - R60K,Silver,28,2,1,2,22361,1873,20488
Existing Customer,44,4,Graduate,Married,R80K - R120K,Blue,36,3,1,3,20485,0,20485
Existing Customer,49,1,College,Married,R60K - R80K,Blue,43,6,3,4,22036,1560,20476
Existing Customer,45,1,Uneducated,Divorced,R60K - R80K,Blue,39,4,2,0,21721,1247,20474
Existing Customer,43,3,College,Married,Unknown,Blue,36,3,3,3,21922,1467,20455
Existing Customer,35,2,Uneducated,Single,R60K - R80K,Blue,30,6,3,3,21695,1257,20438
Existing Customer,43,1,Unknown,Married,R80K - R120K,Blue,33,5,1,5,21165,735,20430
Existing Customer,50,2,Uneducated,Single,R120K +,Blue,40,5,3,4,21794,1368,20426
Existing Customer,44,3,Graduate,Married,Unknown,Blue,36,4,2,3,21242,819,20423
Existing Customer,54,5,College,Single,R60K - R80K,Blue,45,6,1,3,20401,0,20401
Existing Customer,46,4,Graduate,Married,R60K - R80K,Blue,33,6,2,2,21548,1180,20368
Existing Customer,44,0,Unknown,Married,R40K - R60K,Silver,34,2,1,2,22226,1864,20362
Existing Customer,37,1,High School,Single,R60K - R80K,Blue,21,3,2,2,21952,1600,20352
Existing Customer,55,2,Post-Graduate,Single,R60K - R80K,Blue,37,3,3,1,22127,1799,20328
Existing Customer,58,1,Uneducated,Single,R80K - R120K,Blue,40,1,3,0,22104,1783,20321
Existing Customer,42,2,College,Married,R80K - R120K,Blue,32,5,2,2,22120,1805,20315
Existing Customer,40,2,College,Divorced,R60K - R80K,Blue,36,3,2,1,20304,0,20304
Existing Customer,41,5,High School,Married,R60K - R80K,Blue,33,5,3,3,22770,2517,20253
Existing Customer,48,4,High School,Married,R80K - R120K,Blue,36,1,1,2,21526,1320,20206
Existing Customer,41,4,Post-Graduate,Married,R80K - R120K,Blue,36,1,2,2,21751,1573,20178
Existing Customer,43,5,Graduate,Married,R120K +,Blue,36,6,2,4,22355,2179,20176
Existing Customer,59,0,Graduate,Single,R40K - R60K,Silver,45,6,3,3,21358,1225,20133
Existing Customer,50,2,Graduate,Married,R120K +,Blue,43,3,1,3,20114,0,20114
Existing Customer,49,3,Graduate,Married,R80K - R120K,Blue,36,6,1,3,21378,1284,20094
Existing Customer,49,3,High School,Single,R120K +,Blue,43,1,2,1,21680,1587,20093
Existing Customer,36,3,Uneducated,Married,R80K - R120K,Blue,25,6,3,3,21434,1345,20089
Existing Customer,47,3,Graduate,Married,R60K - R80K,Blue,36,2,1,2,21331,1251,20080
Existing Customer,46,2,Uneducated,Divorced,Unknown,Blue,40,5,2,3,20080,0,20080
Existing Customer,62,1,Graduate,Single,R60K - R80K,Blue,49,3,3,2,21805,1777,20028
Existing Customer,46,4,Unknown,Single,R60K - R80K,Blue,31,4,1,4,21226,1202,20024
Existing Customer,44,3,Graduate,Married,R60K - R80K,Blue,32,2,1,1,20001,0,20001
Existing Customer,46,3,Uneducated,Single,Unknown,Blue,33,5,3,4,19995,0,19995
Existing Customer,44,4,Unknown,Single,R80K - R120K,Blue,34,4,1,2,21573,1585,19988
Existing Customer,45,3,Graduate,Single,R40K - R60K,Silver,39,5,2,4,21425,1459,19966
Existing Customer,46,3,Doctorate,Married,R60K - R80K,Blue,31,2,2,2,21161,1198,19963
Existing Customer,50,2,High School,Married,Unknown,Blue,40,2,3,2,19962,0,19962
Existing Customer,50,2,Unknown,Single,Unknown,Blue,42,1,3,3,21498,1542,19956
Existing Customer,49,2,High School,Single,R120K +,Blue,42,3,2,4,21144,1190,19954
Existing Customer,56,3,Graduate,Married,R60K - R80K,Blue,40,3,3,2,20501,561,19940
Existing Customer,50,1,Doctorate,Divorced,R60K - R80K,Blue,33,3,5,2,19939,0,19939
Existing Customer,41,1,Graduate,Single,R80K - R120K,Blue,29,5,1,3,21684,1748,19936
Existing Customer,54,3,Doctorate,Married,R120K +,Blue,41,3,3,0,21592,1676,19916
Existing Customer,46,3,Uneducated,Single,Unknown,Blue,28,4,1,5,21646,1778,19868
Attrited Customer,49,3,Post-Graduate,Unknown,R80K - R120K,Blue,39,2,3,4,20769,901,19868
Existing Customer,54,2,Unknown,Single,R120K +,Blue,36,5,1,2,19865,0,19865
Existing Customer,37,3,Uneducated,Single,R60K - R80K,Blue,36,5,2,0,22352,2517,19835
Existing Customer,47,3,Graduate,Married,R60K - R80K,Blue,38,4,1,2,21304,1532,19772
Existing Customer,47,2,Unknown,Divorced,R80K - R120K,Blue,37,1,2,2,21714,1969,19745
Attrited Customer,40,2,Uneducated,Married,R80K - R120K,Blue,30,6,2,3,20798,1059,19739
Existing Customer,44,3,Post-Graduate,Single,R80K - R120K,Blue,38,5,2,3,19724,0,19724
Existing Customer,43,3,Graduate,Single,R60K - R80K,Blue,30,3,2,4,19711,0,19711
Existing Customer,41,4,Uneducated,Unknown,R40K - R60K,Silver,36,3,2,3,19704,0,19704
Existing Customer,51,2,Unknown,Divorced,R80K - R120K,Blue,38,4,2,3,21382,1692,19690
Existing Customer,40,2,Graduate,Single,R120K +,Blue,33,3,1,2,20891,1213,19678
Existing Customer,53,2,High School,Single,R120K +,Blue,36,2,2,2,21079,1431,19648
Existing Customer,45,3,Graduate,Divorced,R60K - R80K,Blue,36,6,3,2,19629,0,19629
Existing Customer,46,3,High School,Single,R80K - R120K,Blue,39,2,1,3,21350,1724,19626
Existing Customer,42,3,High School,Single,R80K - R120K,Blue,36,4,3,1,21134,1508,19626
Existing Customer,55,1,Graduate,Single,R80K - R120K,Blue,46,3,1,1,21032,1409,19623
Existing Customer,49,3,Unknown,Unknown,R120K +,Blue,44,5,2,2,21620,2008,19612
Existing Customer,47,4,Graduate,Single,R80K - R120K,Blue,36,6,3,2,21637,2030,19607
Existing Customer,60,1,Doctorate,Married,R120K +,Blue,50,6,1,2,21697,2144,19553
Existing Customer,47,1,Uneducated,Unknown,R80K - R120K,Blue,34,4,1,3,20620,1085,19535
Existing Customer,30,0,College,Married,R60K - R80K,Blue,25,2,3,1,19534,0,19534
Existing Customer,53,1,Uneducated,Unknown,R120K +,Blue,47,4,2,2,20783,1257,19526
Existing Customer,47,2,College,Single,R60K - R80K,Blue,41,2,3,3,20811,1302,19509
Existing Customer,42,3,College,Unknown,R120K +,Blue,36,3,2,1,21670,2183,19487
Existing Customer,44,3,High School,Married,R80K - R120K,Blue,36,4,2,5,20882,1420,19462
Existing Customer,43,4,Unknown,Married,R120K +,Blue,37,3,1,3,20695,1250,19445
Existing Customer,36,1,Uneducated,Unknown,R120K +,Blue,23,6,3,3,20230,798,19432
Existing Customer,44,4,Graduate,Married,R80K - R120K,Blue,36,3,2,3,19430,0,19430
Existing Customer,50,3,Uneducated,Single,R60K - R80K,Blue,45,5,3,5,20437,1020,19417
Existing Customer,55,2,Graduate,Single,Unknown,Blue,42,2,3,2,21046,1631,19415
Existing Customer,47,4,Uneducated,Married,R80K - R120K,Blue,40,5,2,4,21148,1746,19402
Attrited Customer,41,3,Graduate,Single,R80K - R120K,Blue,37,3,3,3,19402,0,19402
Existing Customer,43,3,High School,Unknown,R60K - R80K,Blue,36,5,3,3,20811,1425,19386
Existing Customer,53,3,High School,Married,R120K +,Blue,36,3,1,3,21178,1796,19382
Existing Customer,46,3,College,Married,R80K - R120K,Blue,32,4,2,5,20860,1496,19364
Existing Customer,57,2,Graduate,Married,R80K - R120K,Blue,42,6,1,0,21875,2517,19358
Existing Customer,54,0,High School,Single,R80K - R120K,Blue,45,1,3,2,20882,1525,19357
Existing Customer,61,0,Unknown,Single,R60K - R80K,Blue,48,3,2,4,20803,1446,19357
Existing Customer,50,1,Graduate,Married,R60K - R80K,Blue,37,2,2,2,20708,1357,19351
Existing Customer,51,4,Graduate,Single,R120K +,Blue,39,6,4,1,19350,0,19350
Attrited Customer,43,4,Uneducated,Divorced,R80K - R120K,Blue,36,2,3,2,19333,0,19333
Existing Customer,39,3,High School,Single,R60K - R80K,Blue,32,3,2,2,21718,2386,19332
Existing Customer,40,3,Unknown,Divorced,R60K - R80K,Blue,24,2,3,3,20466,1138,19328
Existing Customer,40,4,Unknown,Single,R60K - R80K,Blue,26,2,2,3,20929,1652,19277
Existing Customer,48,4,High School,Married,R80K - R120K,Blue,36,6,2,4,19762,507,19255
Existing Customer,49,1,Graduate,Unknown,R40K - R60K,Silver,41,6,1,3,20231,977,19254
Existing Customer,52,2,Graduate,Married,R40K - R60K,Silver,42,3,3,2,19220,0,19220
Existing Customer,58,2,Unknown,Divorced,R60K - R80K,Blue,52,6,2,3,20410,1196,19214
Existing Customer,44,1,Graduate,Married,R80K - R120K,Blue,33,5,4,3,19214,0,19214
Existing Customer,49,2,Graduate,Married,R80K - R120K,Blue,36,4,2,2,20533,1321,19212
Existing Customer,62,0,High School,Single,Unknown,Blue,36,3,3,3,21329,2119,19210
Existing Customer,46,2,College,Single,R80K - R120K,Blue,41,4,2,0,21526,2332,19194
Existing Customer,43,4,Graduate,Single,R60K - R80K,Blue,24,5,3,2,19188,0,19188
Attrited Customer,43,3,Unknown,Single,R40K - R60K,Silver,36,2,3,4,19713,531,19182
Existing Customer,47,1,Doctorate,Divorced,R60K - R80K,Blue,42,5,2,0,20979,1800,19179
